Brand,Model,Selling_price
OPPO,"F17 Pro",19990
OPPO,A31,12199
OPPO,F17,21990
OPPO,F17,21990
OPPO,F17,21990
OPPO,F17,21990
OPPO,F17,21990
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A11K,8990
OPPO,A11K,8990
OPPO,A11K,8990
OPPO,A11K,8990
OPPO,A11K,8990
OPPO,A54,15990
OPPO,A54,15990
OPPO,A54,15990
OPPO,A54,15990
OPPO,A54,15990
OPPO,A54,15990
OPPO,A54,15990
OPPO,A54,15990
OPPO,A54,15990
OPPO,"Reno5 Pro 5G",35990
OPPO,"Reno5 Pro 5G",35990
OPPO,"Reno5 Pro 5G",35990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A15,10990
OPPO,A53,13499
OPPO,A53,13499
OPPO,A53,13499
OPPO,A53,13499
OPPO,A53,13499
OPPO,A53,13499
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,A53,15999
OPPO,"A74 5G BLACK",18380
OPPO,"Reno6 Pro 5G",39990
OPPO,"Reno6 Pro 5G",39990
OPPO,"Reno6 Pro 5G",39990
OPPO,"Reno6 Pro 5G",39990
OPPO,"Reno6 Pro 5G",39990
OPPO,A54,16990
OPPO,A54,16990
OPPO,A54,16990
OPPO,A54,16990
OPPO,A54,16990
OPPO,A54,16990
OPPO,A54,16990
OPPO,A54,16990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno2 F",19990
OPPO,"Reno3 Pro",26798
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,F17,16990
OPPO,A15s,12990
OPPO,A15s,12990
OPPO,A15s,12990
OPPO,A15s,12990
OPPO,A15s,12990
OPPO,A15s,12990
OPPO,A15s,12990
OPPO,A15s,12990
OPPO,A15S,12990
OPPO,A15S,12990
OPPO,A15S,12990
OPPO,A15S,12990
OPPO,A15S,12990
OPPO,A15S,12990
OPPO,A15S,12990
OPPO,A15S,12990
OPPO,"Reno3 Pro",27990
OPPO,"Reno3 Pro",27990
OPPO,"Reno3 Pro",27990
OPPO,"Reno3 Pro",27990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",23490
OPPO,"F19 Pro",23490
OPPO,"F19 Pro",23490
OPPO,"F19 Pro+ 5G",25990
OPPO,"F19 Pro+ 5G",25990
OPPO,"F19 Pro+ 5G",25990
OPPO,"F19 Pro+ 5G",25990
OPPO,A15S,12889
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",23490
OPPO,"F19 Pro",23490
OPPO,"F19 Pro",23490
OPPO,"F19 Pro",23490
OPPO,"F19 Pro",23490
OPPO,"F19 Pro",23490
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,"F19 Pro",21990
OPPO,A53,13499
OPPO,A53,13499
OPPO,A53,13499
OPPO,A53,13499
OPPO,A53,13499
OPPO,A53,13499
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
OPPO,A15,9989
OPPO,"Reno3 Pro",24989
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A15,11249
OPPO,"Reno5 Pro 5G",35990
OPPO,"Reno5 Pro 5G",35990
OPPO,"Reno5 Pro 5G",35990
OPPO,F5,24990
OPPO,A5s,8990
OPPO,A5s,8990
OPPO,A5s,8990
OPPO,A5s,8990
OPPO,A5s,8990
OPPO,Reno,29999
OPPO,Reno,29999
OPPO,Reno,29999
OPPO,Reno,29999
OPPO,Reno,29999
OPPO,Reno,29999
OPPO,Reno,29999
OPPO,Reno,29999
OPPO,Reno,29999
OPPO,"Reno2 Z",29489
OPPO,"Reno6 Pro 5G",39990
OPPO,"Reno6 Pro 5G",39990
OPPO,"Reno6 Pro 5G",39990
OPPO,"Reno6 Pro 5G",39990
OPPO,"Reno6 Pro 5G",39990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F15,15990
OPPO,F19,19990
OPPO,F19,19990
OPPO,F19,19990
